palabra,n
ley,693
artículo,616
constitucional,460
reforma,306
presidente,198
república,188
inciso,186
único,180
podrá,150
orgánica,113
constitución,113
caso,109
ejercicio,106
nacional,102
número,101
tribunal,95
modificado,94
derecho,85
podrán,80
regional,78
corte,78
letra,77
diputados,74
días,74
miembros,73
congreso,72
cargo,72
deberá,71
funciones,69
texto,68
decreto,67
dentro,66
sustituido,64
forma,64
cámara,62
años,60
convención,59
véase,56
seguridad,54
normas,53
conformidad,53
senado,52
leyes,52
acuerdo,52
general,51
demás,51
suprema,50
atribuciones,50
elección,48
respectiva,47
siguientes,46
regionales,46
ministerio,46
cargos,46
proyecto,44
pública,43
administración,43
oficial,42
publicada,41
plazo,41
tribunales,40
público,40
personas,40
ministros,40
diario,40
sólo,39
consejo,39
disposición,38
plebiscito,37
fuerza,37
dispuesto,37
agregado,37
senadores,36
elecciones,36
determine,36
derechos,36
casos,36
cada,36
asimismo,36
perjuicio,35
anteriormente,35
convencionales,34
constituyentes,34
anterior,34
reemplazado,33
presidencial,33
gobierno,33
electoral,33
año,33
tres,32
cualquiera,32
conforme,32
persona,30
orden,30
mayoría,30
capitulo,30
pleno,29
incisos,29
distrito,29
treinta,28
período,28
parte,28
menos,28
fecha,28
elegirá,28
disposiciones,28
corresponderá,28
señale,27
fiscales,27
éste,27
establecer,27
declaración,27
corresponda,27
cinco,27
organización,26
gobernador,26
determinará,26
requisitos,25
quórum,25
públicos,25
nueva,25
municipalidades,25
enero,25
deberán,25
cualquier,25
así,25
segundo,24
refundido,24
refiere,24
materias,24
ejercer,24
efecto,24
diez,24
día,24
delegado,24
calificador,24
arts,24
votación,23
tener,23
funcionamiento,23
fuerzas,23
fija,23
establecerá,23
diputado,23
autoridad,23
vigencia,22
siguiente,22
siempre,22
resolución,22
objeto,22
nación,22
ministro,22
lugar,22
establecido,22
dicha,22
toda,21
supremo,21
sufragio,21
sistematizado,21
sistema,21
servicio,21
senador,21
libertad,21
justicia,21
generales,21
excepción,21
chile,21
carácter,21
país,20
ningún,20
mismo,20
ésta,20
especiales,20
electorales,20
coordinado,20
aprobado,20
voto,19
respecto,19
respectivo,19
puede,19
procedimiento,19
párrafo,19
º,19
misma,19
mientras,19
legales,19
función,19
figura,19
después,19
comisión,19
término,18
salvo,18
requerimiento,18
protección,18
política,18
integrantes,18
elegidos,18
delito,18
cámaras,18
calificado,18
actos,18
resolver,17
publicación,17
propuesta,17
primera,17
órganos,17
juez,17
interior,17
inmediatamente,17
dicho,17
cuatro,17
constitucionales,17
consejeros,17
candidatos,17
autoridades,17
apelaciones,17
alguno,17
tratado,16
título,16
territorio,16
penal,16
participación,16
nuevo,16
ninguna,16
momento,16
mixta,16
medidas,16
materia,16
hubiere,16
haber,16
edad,16
declarar,16
cumplimiento,16
cuarto,16
ciudadano,16
ciudadanía,16
acción,16
todas,15
servicios,15
sentencia,15
región,15
primero,15
presidencia,15
presentes,15
partes,15
naturaleza,15
mediante,15
jueces,15
judicial,15
guerra,15
fiscal,15
empresas,15
elegido,15
efectos,15
designados,15
condiciones,15
bajo,15
armadas,15
aprobación,15
actividades,15
votaciones,14
tercios,14
solo,14
social,14
secretaría,14
presente,14
popular,14
políticos,14
personal,14
partidos,14
origen,14
organismos,14
medio,14
legal,14
jurídica,14
funcionarios,14
establece,14
embargo,14
domingo,14
defensa,14
control,14
conocer,14
cesará,14
bienes,14
aplicables,14
además,14
vigor,13
vez,13
segunda,13
según,13
requerirá,13
regulará,13
promulgación,13
procederá,13
previo,13
presupuestos,13
pena,13
parlamentarios,13
incorporada,13
igual,13
hacer,13
especial,13
entidades,13
enseñanza,13
electo,13
directa,13
desarrollo,13
delitos,13
cumplir,13
contraloría,13
comunicación,13
competente,13
carabineros,13
banco,13
alguna,13
acuerdos,13
acto,13
virtud,12
tiempo,12
sesión,12
señalado,12
recursos,12
pueda,12
públicas,12
provincial,12
propiedad,12
procedimientos,12
populares,12
poder,12
números,12
nacionalidad,12
libre,12
jurisdicción,12
judiciales,12
hechos,12
fuere,12
final,12
establezca,12
especialmente,12
entrada,12
entenderá,12
educación,12
derogado,12
decretos,12
cuyo,12
cuales,12
código,12
chilena,12
central,12
causales,12
calificación,12
artículos,12
tercero,11
tal,11
superiores,11
sesiones,11
relación,11
reglamento,11
privado,11
obstante,11
internacional,11
hecho,11
grave,11
gasto,11
formas,11
formación,11
establecidos,11
escrutinios,11
emitidos,11
durarán,11
diciembre,11
dichas,11
declare,11
dar,11
d.o,11
cuestión,11
contado,11
competencia,11
clase,11
causa,11
bis,11
bases,11
aplicación,11
afectado,11
acusación,11
absoluta,11
abogado,11
tramitación,10
superior,10
retiro,10
responsabilidad,10
regiones,10
pueden,10
proclamación,10
previa,10
particulares,10
nombrados,10
nacionales,10
limitaciones,10
jefe,10
gastos,10
facultad,10
exclusiva,10
establecidas,10
empleo,10
director,10
correspondiente,10
concesión,10
comisiones,10
capítulo,10
calidades,10
aplicable,10
antecedentes,10
alcalde,10
agregada,10
actuales,10
vigésima,9
uso,9
través,9
tratados,9
transitoria,9
territorios,9
tales,9
señalará,9
respectivos,9
resoluciones,9
remuneraciones,9
recurso,9
quince,9
puedan,9
previamente,9
político,9
otorgar,9
organizaciones,9
observaciones,9
necesarias,9
modo,9
interés,9
infracción,9
imputado,9
hubieren,9
gobiernos,9
gobernadores,9
fin,9
facultades,9
expresión,9
expresamente,9
exclusivamente,9
encargado,9
empleos,9
ejercerá,9
dominio,9
determinados,9
deber,9
deben,9
cuestiones,9
convocatoria,9
comunas,9
arreglo,9
aquellos,9
aprueba,9
ambas,9
tributos,8
sino,8
séptimo,8
restringir,8
requerirán,8
regulen,8
proposición,8
propio,8
pronunciarse,8
presidenciales,8
preceptos,8
precepto,8
planteada,8
patrimonio,8
órgano,8
ocho,8
nombrado,8
modificación,8
meses,8
media,8
instituciones,8
inferior,8
inconstitucionalidad,8
impedimento,8
fondos,8
falta,8
exclusivas,8
determinen,8
determinar,8
detenido,8
delegados,8
cuarta,8
correspondientes,8
convocado,8
concesiones,8
comunes,8
cesarán,8
autorización,8
asunto,8
asumirá,8
asegurar,8
arrestado,8
aquellas,8
aprobar,8
anteriores,8
algún,8
vigente,7
vida,7
vicepresidente,7
válidamente,7
vacancia,7
trate,7
transparencia,7
trámite,7
trabajo,7
titulares,7
supervigilancia,7
sufragios,7
señalada,7
seis,7
salud,7
respectivas,7
requerir,7
registro,7
referencia,7
reclamación,7
proyectos,7
propias,7
procesos,7
proceso,7
personalidad,7
parlamentario,7
orgánicas,7
nombre,7
nombramiento,7
nadie,7
nacionalización,7
modificaciones,7
mandato,7
local,7
integrado,7
integración,7
iniciativa,7
inhabilidades,7
inhabilidad,7
indultos,7
individuo,7
hace,7
gravemente,7
garantías,7
febrero,7
exterior,7
estatuto,7
epígrafe,7
encargados,7
ello,7
electos,7
durará,7
designado,7
desempeñar,7
debiendo,7
debe,7
cortes,7
contralor,7
contemplará,7
constitucionalidad,7
conocimiento,7
conducta,7
concejo,7
ciudadanos,7
ciento,7
cesación,7
autorizar,7
art,7
aquel,7
anterioridad,7
adoptar,7
administrativas,7
actualmente,7
zonas,6
último,6
tratándose,6
total,6
tomar,6
terna,6
términos,6
tercio,6
terceras,6
suspensión,6
sometidos,6
solicitar,6
sociedad,6
sesenta,6
señalados,6
semifiscales,6
sector,6
sanciones,6
reunir,6
respectivamente,6
resolverá,6
requisito,6
remoción,6
relativas,6
relativa,6
reglas,6
régimen,6
referida,6
quinto,6
queda,6
proveer,6
prórroga,6
propios,6
profesionales,6
profesional,6
prescrito,6
poseer,6
optar,6
oportunidad,6
opinión,6
oficio,6
obligatorio,6
nuevos,6
norma,6
municipal,6
ministerios,6
magistrados,6
lugares,6
límites,6
junio,6
investigaciones,6
inversión,6
internacionales,6
interna,6
inmediato,6
ingreso,6
indemnización,6
incorporado,6
iii,6
grupos,6
flagrante,6
fisco,6
éstos,6
estatutos,6
esenciales,6
encuentren,6
emergencia,6
ejecución,6
disponer,6
directivo,6
dirección,6
detención,6
designar,6
declarado,6
debida,6
deba,6
daño,6
cuya,6
cuanto,6
corporaciones,6
coordinación,6
contados,6
consulta,6
consejero,6
conocerá,6
concejales,6
comunidad,6
chilenos,6
celebrará,6
calidad,6
autónomas,6
asamblea,6
armas,6
aprobada,6
aplicará,6
afectada,6
adoptará,6
administrativo,6
administrativa,6
acusado,6
actividad,6
votos,5
vigentes,5
velar,5
urgencia,5
universal,5
trata,5
trabajadores,5
totalidad,5
ternas,5
televisión,5
susciten,5
soberanía,5
sitio,5
sanción,5
sala,5
revisora,5
reunión,5
respeto,5
reserva,5
renuncia,5
relaciones,5
rehabilitación,5
regirá,5
reformas,5
referidas,5
reelegidos,5
reelegido,5
reclamar,5
reclamaciones,5
realizará,5
quintas,5
quedarán,5
quedará,5
quedar,5
provincias,5
provinciales,5
precedentes,5
precedente,5
posesión,5
población,5
permiso,5
oración,5
obligaciones,5
noviembre,5
nombrar,5
nombramientos,5
nivel,5
muerte,5
motivos,5
moral,5
modificada,5
modalidades,5
minería,5
mayorías,5
mayor,5
mayo,5
límite,5
legalidad,5
julio,5
investigación,5
intereses,5
integrada,5
instalación,5
informar,5
información,5
indicadas,5
incompatibilidades,5
ii,5
igualdad,5
hijos,5
hagan,5
