palabra,n
artículo,538
ley,486
derecho,256
constitución,252
derechos,209
personas,155
podrá,149
ejercicio,145
regional,144
ser,128
congreso,120
república,118
deberá,117
presidente,111
diputados,103
diputadas,102
nacional,99
justicia,98
territoriales,93
podrán,93
todas,92
forma,92
entidades,91
persona,89
demás,87
pública,82
regionales,81
funciones,81
regiones,80
cargo,78
sistema,77
participación,77
leyes,77
deberán,77
caso,76
presidenta,74
cámara,73
toda,71
protección,71
conformidad,71
atribuciones,70
así,70
públicos,67
órganos,66
función,66
naturaleza,65
consejo,65
social,64
principios,64
desarrollo,64
conforme,64
integrantes,63
público,62
competencias,62
humanos,61
deber,61
establezca,60
constitucional,60
pueblos,58
organización,57
administración,57
tribunales,56
territorial,56
indígenas,56
educación,56
corte,55
años,55
servicios,54
garantizar,54
medidas,53
libertad,53
públicas,52
chile,52
acuerdo,51
territorio,50
política,50
general,50
determine,50
mecanismos,49
dentro,48
si,47
funcionamiento,47
condiciones,47
acceso,45
seguridad,44
autónoma,44
pleno,43
elección,43
regulará,42
región,42
mayoría,42
establecer,42
recursos,41
jurídica,41
cumplimiento,41
sólo,40
proyecto,40
políticas,40
internacionales,40
información,40
carácter,40
vida,39
respeto,39
promover,39
interés,39
gobierno,39
género,39
principio,38
perjuicio,38
materias,38
instituciones,38
través,37
país,37
casos,37
reconoce,36
popular,36
ejercer,36
defensoría,36
respecto,35
órgano,35
menos,35
estatuto,35
competencia,35
servicio,34
libre,34
establecerá,34
asimismo,34
naciones,33
gestión,33
fundamentales,33
cualquier,33
cada,33
asamblea,33
uso,32
procedimiento,32
igualdad,32
fiscales,32
electoral,32
cargos,32
bienes,32
autónomas,32
juezas,31
jueces,31
integración,31
garantiza,31
días,31
cultural,31
transparencia,30
territorios,30
procedimientos,30
patrimonio,30
establecidos,30
especial,30
determinará,30
autonomía,30
tratados,29
salud,29
respectiva,29
número,29
ninguna,29
ministerio,29
materia,29
internacional,29
ejecución,29
dirección,29
autoridades,29
autoridad,29
tribunal,28
responsabilidad,28
ningún,28
fiscal,28
fines,28
acción,28
pueblo,27
necesarias,27
excepción,27
representantes,26
proceso,26
organizaciones,26
normas,26
manera,26
inciso,26
funcionarios,26
formación,26
ambiental,26
siguientes,25
salvo,25
personalidad,25
mediante,25
dispuesto,25
democracia,25
debe,25
contraloría,25
civil,25
banco,25
actos,25
requisitos,24
poder,24
personal,24
miembros,24
establecido,24
coordinación,24
siempre,23
propio,23
presupuestos,23
parte,23
integral,23
empresas,23
central,23
trabajo,22
señale,22
resolución,22
